authors,number of publications,Degree,Betweenness,Deg_Cent
 Alexander Kurz,2,13,0.00045201476030669026,0.0007770936696754138
 M S Okun,3,21,0.00045153221642591857,0.0012553051587064381
 Kailash P Bhatia,4,16,0.00045151792268222443,0.0009564229780620481
 Alexis Elbaz,2,49,0.00045133210401420066,0.002929045370315022
 I Aviles-Olmos,2,20,0.00045133210401420066,0.00119552872257756
 Ana Gorostidi,2,19,0.00045133210401420066,0.0011357522864486821
 Yufeng Zang,2,17,0.00045133210401420066,0.0010161994141909259
 John N Caviness,2,14,0.00045133210401420066,0.000836870105804292
 Linyin Feng,2,10,0.00045133210401420066,0.00059776436128878
 Min Zhu,2,8,0.00045133210401420066,0.00047821148903102404
Melissa K McCoy,2,8,0.00045133210401420066,0.00047821148903102404
 George F Borm,4,30,0.0004482625179816898,0.00179329308386634
 Mojgan Hodaie,3,22,0.0004371705661297535,0.001315081594835316
 Jian Liu,4,22,0.0004309492255063623,0.001315081594835316
 Connie Marras,2,12,0.000430007338934133,0.0007173172335465358
 Kai Bötzel,3,21,0.00042939426845917757,0.0012553051587064381
 Joong-Seok Kim,3,19,0.00042937864936888446,0.0011357522864486821
 K Gwinn-Hardy,2,20,0.0004251127387396808,0.00119552872257756
 Blas Morales,3,33,0.000422688632796459,0.001972622392252974
 Guey-Jen Lee-Chen,4,27,0.0004221355049058721,0.001613963775479706
 Sheng-Di Chen,4,15,0.0004184742275118128,0.00089664654193317
 George E Stelmach,4,13,0.0004106092282296063,0.0007770936696754138
 Chin-Song Lu,3,66,0.0004105520532548298,0.003945244784505948
 David T Dexter,3,24,0.00041054490638298266,0.001434634467093072
 Howard Poizner,4,18,0.0004105091720237474,0.001075975850319804
 Silvia Ramat,2,52,0.00041037338145865314,0.0031083746787016558
 Roberto Bernabei,2,18,0.00041037338145865314,0.001075975850319804
 Yasin Temel,2,17,0.00041037338145865314,0.0010161994141909259
 Yaw-Don Hsu,2,17,0.00041037338145865314,0.0010161994141909259
 Albert C Ludolph,2,12,0.00041037338145865314,0.0007173172335465358
 Virginie Czernecki,2,9,0.00041037338145865314,0.000537987925159902
 Jan Booij,3,17,0.000408383188818853,0.0010161994141909259
 Hubert H Fernandez,2,17,0.0004057857776919908,0.0010161994141909259
 Sylvie Chalon,3,19,0.000405393315747368,0.0011357522864486821
 Alek Pogosyan,2,22,0.00039074837725525715,0.001315081594835316
D Morley,2,8,0.0003896152921788436,0.00047821148903102404
 Karla Eggert,2,12,0.0003895639333254616,0.0007173172335465358
 Brit Mollenhauer,2,7,0.000388304335384146,0.000418435052902146
 Florian Wegner,2,15,0.00038822522560458885,0.00089664654193317
 Abbas F Sadikot,3,9,0.00038285947037702947,0.000537987925159902
 Kenji Nakashima,4,12,0.0003694789807497291,0.0007173172335465358
 Carlo Ferrarese,2,47,0.00036940036515941137,0.002809492498057266
 Michael Sommerauer,2,20,0.00036940036515941137,0.00119552872257756
 Benjamin Wolozin,2,19,0.00036940036515941137,0.0011357522864486821
 Kai C Sonntag,2,18,0.00036940036515941137,0.001075975850319804
 Yong Liu,2,18,0.00036940036515941137,0.001075975850319804
 Patrick Mertens,2,17,0.00036940036515941137,0.0010161994141909259
 Stephen R Lord,2,15,0.00036940036515941137,0.00089664654193317
John P M Finberg,2,10,0.00036940036515941137,0.00059776436128878
 Pablo Mir,2,9,0.00036940036515941137,0.000537987925159902
 Jin-Song Bian,2,8,0.00036940036515941137,0.00047821148903102404
Thomas Müller,3,8,0.00036940036515941137,0.00047821148903102404
 Roberta Zangaglia,3,55,0.0003685070061785279,0.00328770398708829
 Joel S Perlmutter,3,33,0.0003682997468949629,0.001972622392252974
Svenja Happe,3,20,0.0003681459933774476,0.00119552872257756
 Björn Wolf,2,17,0.000359039806662788,0.0010161994141909259
 Marie Delliaux,2,21,0.0003570190013853409,0.0012553051587064381
 Vincenzo Bonifati,4,77,0.00035686182384885587,0.004602785581923606
 Kristel Sleegers,2,30,0.00035612198440763667,0.00179329308386634
 Leonora Wilkinson,3,18,0.0003553372372138015,0.001075975850319804
 O Riess,3,36,0.00035143456956939883,0.002151951700639608
 Luigi Zecca,3,29,0.00034892100388163766,0.0017335166477374618
 Maria Caterina Silveri,2,15,0.0003483313869542545,0.00089664654193317
Nicoletta Ciccarelli,2,15,0.0003483313869542545,0.00089664654193317
 Alexandra Gaenslen,2,23,0.0003469614196511837,0.001374858030964194
 Lynn Rochester,4,11,0.0003361589016664244,0.000657540797417658
 Philippe Derost,3,23,0.0003358974135786882,0.001374858030964194
 D Louis Collins,2,13,0.0003329136922222308,0.0007770936696754138
 Robert L Nussbaum,3,22,0.00032852025819418164,0.001315081594835316
 Deniz Kirik,3,13,0.0003284988175786404,0.0007770936696754138
 Bruno Dubois,3,10,0.00032846308321940503,0.00059776436128878
 Sonja A Kotz,3,10,0.0003284416426038638,0.00059776436128878
 Paolo Martinelli,2,50,0.00032841305511647557,0.0029888218064439
 William C Koller,2,30,0.00032841305511647557,0.00179329308386634
 J Klotsche,2,18,0.00032841305511647557,0.001075975850319804
 Michele K York,2,15,0.00032841305511647557,0.00089664654193317
 S Ruggieri,2,14,0.00032841305511647557,0.000836870105804292
 Ying Zhang,2,12,0.00032841305511647557,0.0007173172335465358
 J M Rabey,2,8,0.00032841305511647557,0.00047821148903102404
 A Thompson,2,6,0.00032841305511647557,0.000358658616773268
 Jeffrey M Hausdorff,4,15,0.0003279818605150359,0.00089664654193317
 Anthony L Fink,3,10,0.00032724477979854136,0.00059776436128878
 Hylton B Menz,2,13,0.00031826188317848246,0.0007770936696754138
 Alastair J Noyce,2,16,0.00031220961195094714,0.0009564229780620481
Wenbo Zhou,3,9,0.00030843016320301116,0.000537987925159902
 Clement Hamani,4,26,0.00030349012770128906,0.0015541873393508279
 Tamas Revesz,4,38,0.0003017186786839099,0.0022715045728973642
 Giovanni Abbruzzese,2,48,0.00029848593320318733,0.002869268934186144
 Jean-Philippe Azulay,3,35,0.00029474023901384267,0.00209217526451073
 Tatiana Witjas,3,35,0.00029474023901384267,0.00209217526451073
 Xiong Zhang,3,26,0.0002875186544075516,0.0015541873393508279
 Jörg B Schulz,3,22,0.0002875067429544732,0.001315081594835316
 Robert A Hauser,3,24,0.00028748292004831627,0.001434634467093072
 Klaus L Leenders,3,15,0.000287454332560928,0.00089664654193317
 T Miyamoto,2,21,0.0002874114513298456,0.0012553051587064381
 James E Holden,2,19,0.0002874114513298456,0.0011357522864486821
 Wei-Ping Gai,2,17,0.0002874114513298456,0.0010161994141909259
 Bruce M Cohen,2,16,0.0002874114513298456,0.0009564229780620481
